source,version,name,version_in_other,name_in_other,statement_count,raw_md5,whitespace_removed_md5,note
live,20260913062043,register_access_management_feature,false,false,1,7727107d5fc376dafc865a829cb965e4,08d19d8059796e7c47f8f6ee394f0295,version_absent
live,20260913062331,commercial_performance_hardening,false,true,1,a91a70600c55171ffe8408c35a1d3c7f,45076eda857a348fb6041c59287cd6e6,version_absent;name_present
live,20260913062706,fail_closed_future_workflow_and_document_rls,false,true,1,4748a8817c9ae6c59780f4035d5b05e3,7cf2a0af1277462162f2e4bf3cb5aa87,version_absent;name_present
live,20260913063017,enforce_business_unit_permission_overrides_backend,false,false,1,0b87e0c96a70bb985172e773d41b1300,98ebdeaa04d24da22efddf50cc4fd009,version_absent
live,20260913070216,harden_gate_pass_order_book_and_charge_access,false,true,1,8062543abd21907bd4aa645d247c430b,831eefb9e75ce5e3ebce671e67d8db67,version_absent;name_present
live,20260913070426,protect_entity_translation_writes,false,true,1,4b09ec508e368e21fb8a948cf2906478,bbcc94a0765e4b4375a106d5746433b0,version_absent;name_present
live,20260913070643,make_payment_compat_wrapper_security_invoker,false,true,1,16c656099acc9d240dda35e0963f3b36,08f44b64830344c58dd7d2613f59855b,version_absent;name_present
live,20260913070706,noop_marker_for_commercial_audit,false,false,1,d1ec8ff6c5a15f6fa94122defe2ecdc6,18a3098dd91479bbc0ffc78cfbf6cfae,version_absent
live,20260913071243,make_stock_balances_and_movements_rpc_only,false,true,1,ab884aac5befb7c404a2db9ab41a2724,db729d8760c2eef5d1565167da7315b8,version_absent;name_present
live,20260913071342,make_platform_audit_log_immutable,false,true,1,63e741f3651eac85510e6d3e28d06315,31be501743eae2f0984df81a4827e457,version_absent;name_present
live,20260913071429,revoke_client_truncate_privileges,false,true,1,78261c71f16f1e42ff492d0475abc48a,1f0ed3c5f41997d5609b7fbca8d81c34,version_absent;name_present
live,20260913071528,harden_stock_approval_storage_permissions,false,true,1,accd76f8070a30d44d22df47d0205cf1,ee6df47643aadcc70fac576df5bf5908,version_absent;name_present
live,20260913071713,strengthen_document_number_uniqueness,false,true,1,9b1140a018e5051d3dbe6def31ce191d,36ff359c808c131d70f401ab0a54cc0f,version_absent;name_present
live,20260913072003,scope_stock_approval_files_to_active_business_unit,false,true,1,95d262727fe597e35d8d7704ec73753d,bfdf38e4de07cfe4720883229b6bb6b4,version_absent;name_present
live,20260913072054,correct_stock_approval_scope_and_validate_evidence,false,true,1,47a4ad60d14d8d5fa1ca79835c344add,9958a91bf206eb6046ad0f824dea32d6,version_absent;name_present
live,20260913072243,enforce_branch_read_write_isolation_on_operational_tables,false,true,1,b8fc2845072ff61ca167aacf7ea59ff1,3c60bc18ce5a0c3e7c643deb905bb39f,version_absent;name_present
live,20260913073121,complete_transaction_branch_isolation_v2,false,false,1,85fc3529864bd30efab4878ef958b8ec,c96bad0b04c983a6731e98f5ec054c62,version_absent
live,20260913073406,revoke_public_internal_helper_execution,false,true,1,7b4ad1d5048a1519cecd2089ff37a784,b638b9d7fa4e3fe31a0ece110e46c568,version_absent;name_present
live,20260913073519,enforce_operating_location_write_scope_globally,false,true,1,32f006351e13af3468be6babbbaf2672,b89f852beec99405e42231dfdfbe25e9,version_absent;name_present
live,20260913073609,harden_branch_scoped_read_rpcs,false,true,1,a004f54bed83fcf0afaa09bdec9b350d,0757664875d849c01dd37bc6180268bb,version_absent;name_present
live,20260913075847,fix_branch_child_parent_lookup,false,true,1,9d59ffbaf21f1ca1fd08c95208595bac,1adde3b9e01463c168d72188d3b8b073,version_absent;name_present
live,20260913080206,restore_permission_assert_helper_execution,false,true,1,a0a16c69e49cce46ba1b78d56eb46f82,f20b61e4c0f362c55630c48301914f26,version_absent;name_present
live,20260913080248,restore_legacy_owner_helper_execution,false,true,1,fef33c3ff679c96c7467ac025ae5501f,72d202fa6a67ce6a44a16379a8d5285d,version_absent;name_present
live,20260913080418,fix_zero_discount_posting_guards,false,true,1,4ddb07b527e4a0acead8a4e195ba6f98,2d0401a476f006791afea8b0f4afa187,version_absent;name_present
live,20260913081611,index_branch_scoped_foreign_keys,false,true,1,652d80b2babdb4a170f124718dd2446d,25a78bb494ff8f4a9b017d3cfcf6e78f,version_absent;name_present
live,20260913132831,restore_company_urdu_backfill_execute,false,false,1,b647fa1af4a2b05d6dc55740ca7b2c3b,22ea72e3719ee49df5b877a6570d5cdd,version_absent
live,20260913135518,add_company_language_settings_rpc,false,true,1,b34e7707b39eb38886274de2f74022a4,56fd0e7ec5fca0778a098337374602e8,version_absent;name_present
live,20260913140556,add_company_country_jurisdiction,false,true,1,565d03aad45300428382fc3a7c3aaa39,0e0d6e120b28cb225407ac80bce58af8,version_absent;name_present
live,20260913140704,set_amk_country_pakistan,false,false,1,35380067829e5f3bc19533a3994b4f2e,8c1347a49db020122ab44b1e641af5a9,version_absent
live,20260913142605,expand_global_language_support,false,false,1,b7b47e1105d0ceee1f06de536fa160d1,a0c821ccac2595d8f5732a4a85498fe1,version_absent
live,20260913144433,save_company_jurisdiction_settings,false,false,1,4251bd8c3442fce95bf1272d19c0080f,404fd87ad4c6d4376bc83fec109368ae,version_absent
live,20260914145749,add_main_invoice_discount_amount,false,false,1,1b06861e63a8f88f7846f3d9d25d6d9c,6ff5a6e268e1046caed16a0b12864d35,version_absent
live,20260914181332,owner_managed_company_language_entitlements_v2,false,false,1,164e563d8171a6ba22b8094f655a59a6,d6fb8f5c3c602e5be6f70b82ecc92e91,version_absent
live,20260914182359,secure_owner_language_entitlement_api,false,false,1,273977f59839c413a2bdd1e8e15cbe20,f5ed6e0a511bc59ae5a571550d77e9fc,version_absent
live,20260914193108,secure_delete_draft_purchase_invoice,false,false,1,b1d6b7f22d7172aba1b19a888e89482f,c1e9eacf4cb08851079bb33c317455d4,version_absent
